,ndvi_mean,ndbi_mean,ndwi_mean,bsi_mean,ndvi_std,ndbi_std,ndwi_std,bsi_std
2018,0.1641586720943451,0.058769140392541885,-0.23121803998947144,0.09708108752965927,0.13785672187805176,0.10190063714981079,0.12963494658470154,0.07368959486484528
2020,0.15539701282978058,0.05535021051764488,-0.2262386679649353,0.09806559979915619,0.13480612635612488,0.09862793236970901,0.12909409403800964,0.06937841325998306
2022,0.15134169161319733,0.06778188794851303,-0.2243955284357071,0.10223005712032318,0.12813323736190796,0.09862956404685974,0.12410888075828552,0.06836434453725815
2024,0.16015763580799103,0.0665343627333641,-0.23232010006904602,0.10128362476825714,0.13880664110183716,0.10522016882896423,0.13313572108745575,0.07447934150695801
